Cash Wise Visa,0,0,0,0,0,0,0,0,0.015
Propel American Express,3,0,0,2,1,0,0,0,0
Visa Signature,5,5,5,0,1,0,0,0,0
Propel 365 American Express,3,0,0,2,1,0,0,0,0
Rewards,5,5,5,0,1,0,0,0,0
Platinum,0,0,0,0,0,0,0,0,0
Cash Back College,0,0,0,0,0,0.003,0.003,0.003,0.001
Secured,0,0,0,0,0,0,0,0,0
